mp-28117,VCl3
mp-27697,ThI4
mp-30428,BaCu
mp-30031,CaI2
mp-582549,In2Te5
mp-570136,CuI
mp-985707,CoSn3
mp-28919,Hf3Te2
mp-570325,AuSe
mp-21296,PtPb4
mp-7715,AgF2
mp-29555,MoBr2
mp-1009834,Al2Ru
mp-985707,CoSn3
mvc-14464,SnF3
mp-604914,VSe
mp-2418,PdSe2
mp-556516,Tl2S
mp-13682,PdS2
mp-20738,FeSi2
mp-567510,BaSn2
mp-20050,InP3
mp-27411,TlP5
mp-27411,TlP5
mp-570506,ZrI2
mp-583234,Bi4I
mp-23194,LaI2
mp-1057015,PbS
mp-2706,SnF4
mp-557835,TlF
mp-850083,Fe4S5
mp-582549,In2Te5
mp-19932,In4Se3
mp-8094,Ba2Hg
mvc-15384,SbN
mp-1100795,ZrCl3
mp-568128,GaSe
mp-2330,Nb2Se3
mp-32554,Ta2I5
mp-1861,Cu2Te
mp-570782,MgCl2
mp-570286,BiSe
mp-676422,Ta2O5
mp-22562,YS
mp-1861,Cu2Te
mp-1879,SmS
mvc-13985,SnF4
mvc-14624,MoN
mvc-13836,TaF5
mp-28677,BiS
mp-685068,YbBr3
mvc-13455,MoN2
mp-568128,GaSe
mp-684652,BeF2
mp-10021,Ga
mvc-13958,SbF5
mp-978259,Mg2As
mp-33154,AgI2
mvc-13958,SbF5
mp-1031127,RbLiMg6O7
mp-1095608,KPO4
mp-1096803,MgO2
mp-10128,ThGe2
mp-1079124,Be2BO5
mp-1019563,Ca2SiO4
mp-1080714,Li2AgSn2
mp-1072419,SmGe5
mp-1033679,RbHfMg6O7
mp-27763,UIN
mp-22253,Zn(InS2)2
mp-23690,CaH4SO6
mp-19932,In4Se3
mp-2231,SnS
mp-23896,LuHCl
mp-566907,Hg2MoO4
mp-8677,ZrTiTe4
mp-29689,Nb3TeI7
mp-565201,FeWClO4
mp-510584,MoO3
mp-561190,NaAu(SO4)2
mp-756437,SrLaBr5
mp-626149,Mg(HO)2
mp-605350,RbPbF3
mp-997011,CuBrO2
mp-755646,LiCuO
mp-549720,NbI2O
mp-570141,Sm2(PPt2)3
mp-30244,Mg2H2O3
mp-569873,La4C2Br5
mp-573321,TePdI2
mp-997044,CuO2F
mvc-5328,SbP2O7
mp-567817,HfGeTe4
mp-637614,Zn3(InS3)2
mp-762810,Li2Fe2Si2O7
mp-559864,InSb2S4Br
mvc-10495,Cr4O9
mp-973147,Mg5Sc
mvc-2990,Ba2TlNi2O7
mvc-15382,Zn2SnN2
mvc-8367,Mn2ZnO5
mp-6511,KCSN
mp-765877,Li5NiOF5
mp-29300,Ga2CuCl8
mp-602,Te2Mo
mp-542812,GaTe
mp-558696,CuTeO3
mvc-10447,MgV4O9
mp-753195,Li2WS4
mvc-3402,BaTlV2O6
mp-1086677,Na2SnO6
mp-504350,Sb(PO3)4
mp-13385,TmAg(PSe3)2
mp-1094075,P
mp-676020,BaCO3
mp-1018112,YSb2
mp-773550,Mn3V3(TeO8)2
mp-1014509,Cr3N2
mp-1019239,PdN2
mp-1018127,TbSb2
mp-1039263,MgBi2
mp-1016240,mp-1016240
mp-19917,ZrSiTe
mp-9889,GaS
mp-22747,Pb(CO2)2
mp-28153,Ca(AuF6)2
